SrcAddr,DstAddr,Proto,Sport,Dport,State,sTos,dTos,SrcWin,DstWin,sHops,dHops,StartTime,LastTime,sTtl,dTtl,TcpRtt,SynAck,AckDat,SrcPkts,DstPkts,SrcBytes,DstBytes,SAppBytes,DAppBytes,Dur,TotPkts,TotBytes,TotAppByte,Rate,SrcRate,DstRate,Label
85.236.160.72,147.32.84.189,tcp,22159,51413,RST,0,0,32768,0,16,1,04:24.6,04:25.8,112,63,0,0,0,2,2,132,120,0,0,1.169053,4,252,0,2.56618,0.855393,1.689849,flow=Background-TCP-Attempt
147.32.84.138,209.132.182.33,tcp,60484,443,RST,0,0,2183680,6432,1,18,54:41.3,07:14.3,63,46,0.19268,0.192573,0.000107,12,8,1217,1467,513,1005,752.956421,20,2684,1518,0.025234,0.014609,2.084813,flow=Background-TCP-Established
147.32.84.138,209.132.182.33,tcp,60490,443,RST,0,0,2183680,6432,1,18,54:55.5,07:32.7,63,46,0.193027,0.192865,0.000162,11,8,1140,1467,490,1005,757.213562,19,2607,1495,0.023771,0.013206,0.654216,flow=Background-TCP-Established
147.32.84.138,209.132.182.33,tcp,60494,443,RST,0,0,2183680,6432,1,18,55:12.7,07:40.3,63,46,0.193961,0.193827,0.000134,11,9,1140,1527,490,1005,747.574158,20,2667,1495,0.025416,0.013377,0.295266,flow=Background-TCP-Established
147.32.84.138,209.132.182.33,tcp,60499,443,RST,0,0,2183680,6432,1,18,55:38.2,07:53.0,63,46,0.192923,0.192864,0.000059,11,8,1140,1467,490,1005,734.751343,19,2607,1495,0.024498,0.01361,1.953267,flow=Background-TCP-Established
147.32.84.138,209.132.182.33,tcp,60505,443,RST,0,0,2183680,6432,1,18,56:11.6,08:14.1,63,46,0.19259,0.192578,0.000012,11,8,1140,1467,490,1005,722.503723,19,2607,1495,0.024913,0.013841,2.095058,flow=Background-TCP-Established
147.32.84.138,209.132.182.33,tcp,60509,443,RST,0,0,2183680,6432,1,18,56:26.4,08:34.1,63,46,0.192926,0.192796,0.00013,11,8,1140,1467,490,1005,727.708679,19,2607,1495,0.024735,0.013742,2.099338,flow=Background-TCP-Established
84.54.191.228,147.32.84.229,tcp,63616,443,RST,0,0,16384,65535,14,1,08:42.3,08:51.4,114,127,0.000138,0.000138,0,3,4,184,246,0,0,9.080242,7,430,0,0.660775,0.220258,0.332813,flow=Background-TCP-Established
147.32.84.138,209.132.182.33,tcp,60520,443,RST,0,0,2183680,6432,1,18,56:47.9,09:10.4,63,46,0.193358,0.193234,0.000124,11,8,1140,1467,490,1005,742.549255,19,2607,1495,0.024241,0.013467,2.094642,flow=Background-TCP-Established
147.32.84.138,209.132.182.33,tcp,60521,443,RST,0,0,2183680,6432,1,18,56:49.7,09:12.1,63,46,0.193523,0.193382,0.000141,11,8,1140,1467,490,1005,742.380493,19,2607,1495,0.024246,0.01347,0.481653,flow=Background-TCP-Established
147.32.84.138,209.132.182.33,tcp,60523,443,RST,0,0,2183680,6432,1,18,57:02.9,09:28.4,63,46,0.193755,0.193643,0.000112,11,8,1140,1467,490,1005,745.473816,19,2607,1495,0.024146,0.013414,2.016813,flow=Background-TCP-Established
147.32.84.138,209.132.182.33,tcp,60524,443,RST,0,0,2183680,17060,1,18,57:04.8,09:30.1,63,46,0.193554,0.193511,0.000043,13,10,1277,1587,513,1005,745.357788,23,2864,1518,0.029516,0.0161,0.100902,flow=Background-TCP-Established
147.32.84.138,209.132.182.33,tcp,60525,443,RST,0,0,2183680,6432,1,18,57:06.6,09:31.8,63,46,0.192815,0.192707,0.000108,12,8,1217,1467,513,1005,745.244507,20,2684,1518,0.025495,0.01476,1.992299,flow=Background-TCP-Established
147.32.84.138,209.132.182.33,tcp,60526,443,RST,0,0,2183680,6432,1,18,57:08.4,09:33.5,63,46,0.193095,0.193067,0.000028,12,8,1217,1467,513,1005,745.018127,20,2684,1518,0.025503,0.014765,0.301755,flow=Background-TCP-Established
94.164.1.100,147.32.84.229,tcp,53824,443,RST,0,0,262140,65535,22,1,08:31.2,10:04.4,42,127,0.00015,0.00015,0,3,6,192,396,0,0,93.191933,9,588,0,0.085844,0.021461,0.075315,flow=Background-TCP-Established
94.164.1.100,147.32.84.229,tcp,49217,13363,RST,0,0,262140,65535,22,1,07:51.7,10:50.2,42,127,0.000242,0.000242,0,4,9,258,594,0,0,178.511353,13,852,0,0.067223,0.016806,0.074143,flow=Background-TCP-Established
94.164.1.100,147.32.84.229,tcp,53824,443,RST,0,0,262140,65535,22,1,10:04.4,11:54.0,42,127,0.00016,0.00016,0,2,3,126,198,0,0,109.633598,5,324,0,0.036485,0.009121,0.222129,flow=Background-TCP-Established
110.136.159.76,147.32.84.229,tcp,4370,13363,RST,0,0,65535,65535,23,1,14:01.9,14:04.8,105,127,0.000232,0.000232,0,2,1,122,62,0,0,2.951542,3,184,0,0.677612,0.338806,0,flow=Background-TCP-Established
110.136.159.76,147.32.84.229,tcp,4374,443,RST,0,0,65535,65535,23,1,14:03.5,14:06.3,105,127,0.000227,0.000227,0,2,1,122,62,0,0,2.858526,3,184,0,0.699661,0.349831,0,flow=Background-TCP-Established
110.136.159.76,147.32.84.229,tcp,4379,80,RST,0,0,65535,65535,23,1,14:05.1,14:08.1,105,127,0.000137,0.000137,0,2,1,122,62,0,0,2.984461,3,184,0,0.670138,0.335069,0,flow=Background-TCP-Established
110.136.159.76,147.32.84.229,tcp,4370,13363,RST,0,0,65535,65535,23,1,14:04.8,14:10.8,105,127,0.000157,0.000157,0,2,1,122,62,0,0,6.015526,3,184,0,0.332473,0.166237,0,flow=Background-TCP-Established
110.136.159.76,147.32.84.229,tcp,4374,443,RST,0,0,65535,65535,23,1,14:06.3,14:12.4,105,127,0.000218,0.000218,0,2,1,122,62,0,0,6.016043,3,184,0,0.332444,0.166222,0,flow=Background-TCP-Established
110.136.159.76,147.32.84.229,tcp,4379,80,RST,0,0,65535,65535,23,1,14:08.1,14:14.1,105,127,0.000266,0.000266,0,2,1,122,62,0,0,6.015225,3,184,0,0.33249,0.166245,0,flow=Background-TCP-Established
89.117.251.254,147.32.84.229,tcp,2465,80,FIN,0,0,65535,65535,17,1,14:06.6,14:30.1,111,127,2.252888,0.000174,2.252714,4,4,244,244,0,0,23.439997,8,488,0,0.298635,0.127986,0.141054,flow=Background-TCP-Established
89.117.251.254,147.32.84.229,tcp,2470,13363,FIN,0,0,65535,65535,17,1,14:08.9,14:33.4,111,127,2.210659,0.000132,2.210527,4,4,244,244,0,0,24.539955,8,488,0,0.285249,0.12225,0.141895,flow=Background-TCP-Established
119.160.216.170,147.32.84.189,tcp,50750,51413,RST,0,0,32768,0,25,1,15:53.3,15:54.9,103,63,0,0,0,2,2,132,120,0,0,1.663029,4,252,0,1.803937,0.601312,1.205223,flow=Background-TCP-Attempt
62.74.133.73,147.32.84.229,tcp,54482,443,RST,0,0,65535,65535,20,1,18:45.6,18:53.6,44,127,0.000245,0.000245,0,2,2,138,156,0,0,8.09421,4,294,0,0.370635,0.123545,0.340983,flow=Background-TCP-Established
91.218.25.206,147.32.84.189,tcp,62576,51413,RST,0,0,8192,0,15,1,20:20.5,20:21.8,113,63,0,0,0,2,2,124,120,0,0,1.287177,4,244,0,2.330682,0.776894,1.577723,flow=Background-TCP-Attempt
147.32.84.59,147.32.80.7,tcp,49376,80,RST,0,0,256,65696,2,1,12:06.9,23:41.3,126,63,0.004463,0.000074,0.004389,8,4,688,1306,214,1076,694.382935,12,1994,1290,0.015841,0.010081,0.142192,flow=Background-Established-cmpgw-CVUT
88.40.172.83,147.32.84.229,tcp,33459,13363,RST,0,0,1400,65535,19,1,19:29.9,30:11.8,45,127,0.000189,0.000189,0,3,1,180,60,0,0,641.926025,4,240,0,0.004673,0.003116,0,flow=Background-TCP-Established
213.87.122.28,147.32.84.229,tcp,58509,13363,RST,0,0,131070,65535,23,1,30:35.6,31:03.9,105,127,0.000169,0.000169,0,3,4,192,258,0,0,28.294357,7,450,0,0.212056,0.070685,0.274092,flow=Background-TCP-Established
85.13.106.222,147.32.84.229,tcp,4470,13363,RST,0,0,64240,65535,14,1,32:48.7,32:51.6,114,127,0.000256,0.000256,0,2,1,122,62,0,0,2.888058,3,184,0,0.692507,0.346253,0,flow=Background-TCP-Established
85.13.106.222,147.32.84.229,tcp,4471,443,RST,0,0,64240,65535,14,1,32:50.3,32:53.2,114,127,0.000207,0.000207,0,2,1,122,62,0,0,2.905638,3,184,0,0.688317,0.344159,0,flow=Background-TCP-Established
85.13.106.222,147.32.84.229,tcp,4472,80,RST,0,0,64240,65535,14,1,32:51.9,32:55.0,114,127,0.00027,0.00027,0,2,1,122,62,0,0,3.013832,3,184,0,0.663607,0.331804,0,flow=Background-TCP-Established
85.13.106.222,147.32.84.229,tcp,4470,13363,RST,0,0,64240,65535,14,1,32:51.6,32:57.6,114,127,0.000162,0.000162,0,2,1,122,62,0,0,6.005693,3,184,0,0.333017,0.166509,0,flow=Background-TCP-Established
85.13.106.222,147.32.84.229,tcp,4471,443,RST,0,0,64240,65535,14,1,32:53.2,32:59.3,114,127,0.000228,0.000228,0,2,1,122,62,0,0,6.137923,3,184,0,0.325843,0.162922,0,flow=Background-TCP-Established
85.13.106.222,147.32.84.229,tcp,4472,80,RST,0,0,64240,65535,14,1,32:55.0,33:01.0,114,127,0.000239,0.000239,0,2,1,122,62,0,0,6.035763,3,184,0,0.331358,0.165679,0,flow=Background-TCP-Established
147.32.84.59,74.125.232.218,tcp,50379,80,RST,0,0,65744,8384,2,9,01:34.1,39:09.2,126,55,0.008241,0.007788,0.000453,6,5,1671,3182,1311,2894,2255.056641,11,4853,4205,0.004434,0.002217,15.362871,flow=Background-Established-cmpgw-CVUT
60.12.20.163,147.32.84.229,tcp,20324,13363,RST,0,0,1400,65535,19,1,06:28.9,41:38.9,45,127,0.000137,0.000137,0,2,1,120,60,0,0,2109.973389,3,180,0,0.000948,0.000474,0,flow=Background-TCP-Established
147.32.84.165,193.23.181.44,tcp,1372,80,RST,0,0,64240,6432,1,13,39:42.4,41:52.8,127,51,0.146928,0.060172,0.086756,6,4,574,446,218,210,130.427841,10,1020,428,0.069004,0.038335,18.304403,flow=From-Botnet-V43-TCP-HTTP-Persistent-Down-1
147.32.84.165,72.20.15.61,tcp,1378,80,RST,0,0,64240,65535,1,17,39:42.4,41:53.1,127,47,0.506781,0.184469,0.322312,5,3,447,182,149,0,130.727692,8,629,149,0.053546,0.030598,3.921738,flow=From-Botnet-V43-TCP-HTTP-Persistent-Down-1
147.32.84.165,174.128.246.102,tcp,1384,80,RST,0,0,64240,65535,1,15,39:42.4,41:53.3,127,49,0.290883,0.15699,0.133893,6,2,507,122,147,0,130.836685,8,629,147,0.053502,0.038216,3.288003,flow=From-Botnet-V43-TCP-HTTP-Persistent-Down-1
147.32.84.165,193.23.181.44,tcp,1403,179,RST,0,0,64240,5840,1,13,39:42.5,41:57.8,127,51,0.499579,0.067589,0.43199,5,5,456,300,160,0,135.338409,10,756,160,0.0665,0.029556,3.196379,flow=From-Botnet-V43-TCP-HTTP-Persistent-Down-1
147.32.84.165,193.23.181.44,tcp,1424,179,RST,0,0,64240,5840,1,13,39:42.6,42:01.3,127,51,0.689528,0.068471,0.621057,5,5,456,300,160,0,138.770096,10,756,160,0.064855,0.028825,3.006583,flow=From-Botnet-V43-TCP-HTTP-Persistent-Down-1
62.181.34.118,147.32.84.164,tcp,39892,51413,RST,0,0,2097152,0,17,1,42:01.2,42:02.3,111,63,0,0,0,2,2,132,120,0,0,1.119861,4,252,0,2.678904,0.892968,1.786288,flow=To-Background-Grill
147.32.84.165,174.128.246.102,tcp,1454,80,RST,0,0,64240,65535,1,15,39:42.7,42:08.3,127,49,0.411579,0.161064,0.250515,5,2,441,122,143,0,145.623062,7,563,143,0.041202,0.027468,2.352963,flow=From-Botnet-V43-TCP-HTTP-Persistent-Down-1
147.32.84.165,174.128.246.102,tcp,1568,80,RST,0,0,64240,65535,1,15,39:43.6,42:09.8,127,49,0.687636,0.156905,0.530731,4,4,432,242,196,0,146.212006,8,674,196,0.047876,0.020518,4.27702,flow=From-Botnet-V43-TCP-HTTP-Persistent-Down-1
147.32.84.165,174.37.196.55,tcp,1605,80,RST,0,0,64240,65535,1,14,39:43.7,42:10.0,127,50,0.176308,0.120799,0.055509,6,3,505,182,145,0,146.264587,9,687,145,0.054695,0.034185,10.393282,flow=From-Botnet-V43-TCP-HTTP-Persistent-Down-1
147.32.84.165,174.37.196.55,tcp,1611,80,RST,0,0,64240,65535,1,14,39:43.8,42:10.0,127,50,0.200798,0.120696,0.080102,6,3,488,182,128,0,146.246857,9,670,128,0.054702,0.034189,9.788567,flow=From-Botnet-V43-TCP-HTTP-Persistent-Down-1
147.32.84.165,72.20.15.61,tcp,1640,80,RST,0,0,64240,65535,1,17,39:43.9,42:10.2,127,47,0.260011,0.184253,0.075758,5,3,458,182,160,0,146.335297,8,640,160,0.047835,0.027334,7.589845,flow=From-Botnet-V43-TCP-HTTP-Persistent-Down-1
147.32.84.165,174.128.246.102,tcp,1699,80,RST,0,0,64240,65535,1,16,39:44.1,42:10.6,127,48,0.26718,0.15803,0.10915,5,3,444,182,146,0,146.527664,8,626,146,0.047773,0.027299,7.111516,flow=From-Botnet-V43-TCP-HTTP-Persistent-Down-1
147.32.84.165,174.37.196.55,tcp,1799,80,RST,0,0,64240,65535,1,14,39:44.6,42:11.2,127,50,0.217861,0.120709,0.097152,6,3,538,182,178,0,146.608444,9,720,178,0.054567,0.034104,9.037587,flow=From-Botnet-V43-TCP-HTTP-Persistent-Down-1
147.32.84.165,174.37.196.55,tcp,1809,80,RST,0,0,64240,65535,1,14,39:44.6,42:11.2,127,50,0.121164,0.120935,0.000229,5,3,448,182,150,0,146.577606,8,630,150,0.047756,0.027289,16.470123,flow=From-Botnet-V43-TCP-HTTP-Persistent-Down-1
147.32.84.165,174.37.196.55,tcp,1815,80,RST,0,0,64240,65535,1,14,39:44.6,42:11.2,127,50,0.121007,0.120778,0.000229,5,3,471,182,173,0,146.559372,8,653,173,0.047762,0.027293,16.414701,flow=From-Botnet-V43-TCP-HTTP-Persistent-Down-1
147.32.84.165,174.37.196.55,tcp,1820,80,RST,0,0,64240,65535,1,14,39:44.7,42:11.3,127,50,0.156428,0.120881,0.035547,5,3,549,182,251,0,146.641541,8,731,251,0.047735,0.027277,12.502422,flow=From-Botnet-V43-TCP-HTTP-Persistent-Down-1
147.32.84.165,72.20.15.61,tcp,1848,80,RST,0,0,64240,65535,1,17,39:44.9,42:11.5,127,47,0.184627,0.184255,0.000372,6,3,539,182,179,0,146.648071,9,721,179,0.054552,0.034095,10.804621,flow=From-Botnet-V43-TCP-HTTP-Persistent-Down-1
147.32.84.165,193.23.181.44,tcp,1999,80,RST,0,0,64240,6432,1,13,40:03.4,42:28.2,127,51,0.062216,0.062035,0.000181,6,4,498,446,142,210,144.829956,10,944,352,0.062142,0.034523,45.817616,flow=From-Botnet-V43-TCP-HTTP-Persistent-Down-1
147.32.84.165,193.23.181.44,tcp,2000,179,RST,0,0,64240,5840,1,13,40:03.4,42:28.3,127,51,0.074973,0.063422,0.011551,5,5,486,300,190,0,144.866791,10,786,190,0.062126,0.027612,8.206155,flow=From-Botnet-V43-TCP-HTTP-Persistent-Down-1
147.32.84.165,193.23.181.44,tcp,2018,80,RST,0,0,64240,6432,1,13,40:03.5,42:29.1,127,51,0.385289,0.06639,0.318899,6,4,537,446,181,210,145.641556,10,983,391,0.061796,0.034331,7.491703,flow=From-Botnet-V43-TCP-HTTP-Persistent-Down-1
147.32.84.165,174.128.246.102,tcp,2062,80,RST,0,0,64240,65535,1,16,40:03.7,42:30.6,127,48,0.412272,0.16509,0.247182,4,2,422,122,186,0,146.853058,6,544,186,0.034048,0.020429,2.340178,flow=From-Botnet-V43-TCP-HTTP-Persistent-Down-1
147.32.84.165,193.23.181.44,tcp,2504,179,RST,0,0,64240,5840,1,13,40:13.3,42:35.3,127,51,0.071317,0.071006,0.000311,7,5,632,300,212,0,141.975586,12,932,212,0.077478,0.042261,28.286142,flow=From-Botnet-V43-TCP-HTTP-Persistent-Down-1
88.40.172.83,147.32.84.229,tcp,33459,13363,RST,0,0,1400,65535,19,1,30:11.8,42:39.1,45,127,0.000155,0.000155,0,3,1,180,60,0,0,747.280762,4,240,0,0.004015,0.002676,0,flow=Background-TCP-Established
147.32.84.165,174.37.196.55,tcp,2942,80,RST,0,0,64240,65535,1,14,40:26.3,42:53.4,127,50,0.121031,0.120577,0.000454,6,3,533,182,173,0,147.18457,9,715,173,0.054354,0.033971,16.473244,flow=From-Botnet-V43-TCP-HTTP-Persistent-Down-1
147.32.84.165,193.23.181.44,tcp,3075,80,RST,0,0,64240,6432,1,13,40:35.2,42:57.9,127,51,0.062156,0.061842,0.000314,7,3,602,386,182,210,142.667404,10,988,392,0.063084,0.042056,31.754097,flow=From-Botnet-V43-TCP-HTTP-Persistent-Down-1
147.32.84.165,193.23.181.44,tcp,3107,80,RST,0,0,64240,6432,1,13,40:43.9,43:03.9,127,51,0.129169,0.061987,0.067182,6,4,535,444,179,210,140.023193,10,979,389,0.064275,0.035708,20.791462,flow=From-Botnet-V43-TCP-HTTP-Persistent-Down-1
147.32.84.165,193.23.181.44,tcp,3118,80,RST,0,0,64240,6432,1,13,40:44.4,43:08.1,127,51,0.070597,0.070251,0.000346,5,3,424,384,128,210,143.707092,8,808,338,0.04871,0.027834,28.183304,flow=From-Botnet-V43-TCP-HTTP-Persistent-Down-1
147.32.84.165,193.23.181.44,tcp,3122,179,RST,0,0,64240,5840,1,13,40:45.4,43:09.7,127,51,0.06167,0.061452,0.000218,5,5,476,300,180,0,144.271942,10,776,180,0.062382,0.027725,11.140727,flow=From-Botnet-V43-TCP-HTTP-Persistent-Down-1
147.32.84.165,174.128.246.102,tcp,3127,80,RST,0,0,64240,65535,1,16,40:45.4,43:10.4,127,48,0.399206,0.160153,0.239053,4,3,383,182,147,0,144.97261,7,565,147,0.041387,0.020694,4.970636,flow=From-Botnet-V43-TCP-HTTP-Persistent-Down-1
147.32.84.165,193.23.181.44,tcp,3130,80,RST,0,0,64240,6432,1,13,40:45.4,43:10.5,127,51,0.066208,0.066063,0.000145,5,3,424,386,128,210,145.073547,8,810,338,0.048251,0.027572,29.949085,flow=From-Botnet-V43-TCP-HTTP-Persistent-Down-1
147.32.84.165,174.128.246.102,tcp,3174,80,RST,0,0,64240,65535,1,15,40:45.6,43:12.6,127,49,0.401577,0.157394,0.244183,4,2,422,122,186,0,146.97345,6,544,186,0.03402,0.020412,2.491212,flow=From-Botnet-V43-TCP-HTTP-Persistent-Down-1
147.32.84.165,174.37.196.55,tcp,3283,80,RST,0,0,64240,65535,1,14,40:46.1,43:13.0,127,50,0.235175,0.12084,0.114335,4,3,377,182,141,0,146.896042,7,559,141,0.040845,0.020423,8.376297,flow=From-Botnet-V43-TCP-HTTP-Persistent-Down-1
147.32.84.165,174.37.196.55,tcp,3299,80,RST,0,0,64240,65535,1,14,40:46.2,43:13.2,127,50,0.235533,0.120957,0.114576,4,4,417,242,181,0,147.047043,8,659,181,0.047604,0.020402,11.971413,flow=From-Botnet-V43-TCP-HTTP-Persistent-Down-1
147.32.84.165,174.37.196.55,tcp,3506,80,RST,0,0,64240,65535,1,14,40:47.2,43:14.4,127,50,0.12158,0.121226,0.000354,4,3,419,182,183,0,147.275558,7,601,183,0.04074,0.02037,16.444258,flow=From-Botnet-V43-TCP-HTTP-Persistent-Down-1
147.32.84.165,72.20.15.61,tcp,3598,80,RST,0,0,64240,65535,1,17,40:48.4,43:16.8,127,47,0.184595,0.184365,0.00023,5,3,452,182,154,0,148.343307,8,634,154,0.047188,0.026964,10.825089,flow=From-Botnet-V43-TCP-HTTP-Persistent-Down-1
147.32.84.165,193.23.181.44,tcp,3690,80,RST,0,0,64240,6432,1,13,41:06.4,43:31.3,127,51,0.065098,0.06483,0.000268,5,3,450,384,154,210,144.876389,8,834,364,0.048317,0.02761,30.446499,flow=From-Botnet-V43-TCP-HTTP-Persistent-Down-1
147.32.84.165,72.20.15.61,tcp,3709,80,RST,0,0,64240,65535,1,17,41:06.5,43:33.5,127,47,0.463169,0.182951,0.280218,4,3,393,182,157,0,146.982346,7,575,157,0.040821,0.020411,4.287806,flow=From-Botnet-V43-TCP-HTTP-Persistent-Down-1
147.32.84.165,72.20.15.61,tcp,3716,80,RST,0,0,64240,65535,1,17,41:06.5,43:33.7,127,47,0.239884,0.184501,0.055383,5,3,497,182,199,0,147.183853,8,679,199,0.04756,0.027177,8.117575,flow=From-Botnet-V43-TCP-HTTP-Persistent-Down-1
147.32.84.165,72.20.15.61,tcp,3728,80,RST,0,0,64240,65535,1,17,41:06.5,43:33.7,127,47,0.242874,0.184469,0.058405,5,3,446,182,148,0,147.172623,8,628,148,0.047563,0.027179,7.618641,flow=From-Botnet-V43-TCP-HTTP-Persistent-Down-1
147.32.84.165,174.128.246.102,tcp,4055,80,RST,0,0,64240,65535,1,16,41:08.0,43:35.5,127,48,0.164778,0.164459,0.000319,7,3,1007,184,603,0,147.484818,10,1191,603,0.061023,0.040682,0.219093,flow=From-Botnet-V43-TCP-HTTP-Persistent-Down-1
147.32.84.165,174.128.246.102,tcp,4204,80,RST,0,0,64240,65535,1,15,41:16.2,43:43.7,127,49,0.163501,0.163167,0.000334,6,4,563,242,203,0,147.467346,10,805,203,0.06103,0.033906,18.357157,flow=From-Botnet-V43-TCP-HTTP-Persistent-Down-1
147.32.84.165,193.23.181.44,tcp,4232,179,RST,0,0,64240,5840,1,13,41:25.0,43:47.2,127,51,0.062123,0.061767,0.000356,5,5,440,300,144,0,142.2211,10,740,144,0.063282,0.028125,32.483353,flow=From-Botnet-V43-TCP-HTTP-Persistent-Down-1
79.105.226.68,147.32.84.229,tcp,1538,13363,RST,0,0,65535,65535,11,1,43:48.2,43:51.2,117,127,0.000236,0.000236,0,2,1,122,62,0,0,2.950304,3,184,0,0.677896,0.338948,0,flow=Background-TCP-Established
147.32.84.165,193.23.181.44,tcp,4253,80,RST,0,0,64240,6432,1,13,41:26.3,43:52.4,127,51,0.060114,0.059858,0.000256,5,3,424,384,128,210,146.179459,8,808,338,0.047886,0.027364,32.880135,flow=From-Botnet-V43-TCP-HTTP-Persistent-Down-1
79.105.226.68,147.32.84.229,tcp,1539,443,RST,0,0,65535,65535,11,1,43:49.8,43:52.8,117,127,0.000235,0.000235,0,2,1,122,62,0,0,2.934735,3,184,0,0.681493,0.340746,0,flow=Background-TCP-Established
79.105.226.68,147.32.84.229,tcp,1540,80,RST,0,0,65535,65535,11,1,43:51.4,43:54.4,117,127,0.000321,0.000321,0,2,1,122,62,0,0,2.943032,3,184,0,0.679571,0.339786,0,flow=Background-TCP-Established
147.32.84.165,174.128.246.102,tcp,4302,80,RST,0,0,64240,65535,1,16,41:27.6,43:54.6,127,48,0.40031,0.16385,0.23646,5,2,472,122,174,0,147.076553,7,594,174,0.040795,0.027197,2.467448,flow=From-Botnet-V43-TCP-HTTP-Persistent-Down-1
147.32.84.165,174.37.196.55,tcp,4406,80,RST,0,0,64240,65535,1,14,41:28.0,43:55.1,127,50,0.28107,0.120815,0.160255,5,4,479,242,181,0,147.184265,9,721,181,0.054354,0.027177,10.125796,flow=From-Botnet-V43-TCP-HTTP-Persistent-Down-1
147.32.84.165,193.23.181.44,tcp,4812,179,RST,0,0,64240,5840,1,13,41:46.2,43:55.7,127,51,0.070251,0.069994,0.000257,5,5,481,300,185,0,129.526093,10,781,185,0.069484,0.030882,28.276146,flow=From-Botnet-V43-TCP-HTTP-Persistent-Down-1
147.32.84.165,193.23.181.44,tcp,4819,179,RST,0,0,64240,5840,1,13,41:46.3,43:55.7,127,51,0.066608,0.066407,0.000201,5,5,449,300,153,0,129.427078,10,749,153,0.069537,0.030905,29.229082,flow=From-Botnet-V43-TCP-HTTP-Persistent-Down-1
147.32.84.165,193.23.181.44,tcp,4842,80,RST,0,0,64240,6432,1,13,41:47.4,43:55.7,127,51,0.066788,0.066487,0.000301,5,3,482,386,186,210,128.324051,8,868,396,0.054549,0.031171,29.70797,flow=From-Botnet-V43-TCP-HTTP-Persistent-Down-1
147.32.84.165,193.23.181.44,tcp,4852,179,RST,0,0,64240,5840,1,13,41:48.4,43:55.8,127,51,0.0722,0.071878,0.000322,5,5,488,300,192,0,127.37748,10,788,192,0.070656,0.031403,18.810959,flow=From-Botnet-V43-TCP-HTTP-Persistent-Down-1
