SrcAddr,DstAddr,Proto,Sport,Dport,State,sTos,dTos,SrcWin,DstWin,sHops,dHops,StartTime,LastTime,sTtl,dTtl,TcpRtt,SynAck,AckDat,SrcPkts,DstPkts,SrcBytes,DstBytes,SAppBytes,DAppBytes,Dur,TotPkts,TotBytes,TotAppByte,Rate,SrcRate,DstRate,Tag
147.32.86.20,80.239.207.156,tcp,3155,80,FIN,0,0,65535,5840,1,11,8/14/2011 7:15,8/14/2011 7:15,127,53,0.038056,0.038042,0.000014,11,20,798,23483,148,22377,0.309195,31,24281,22525,97.026146,32.342049,70.088203,flow=Background-TCP-Established
90.183.39.17,147.32.84.2,tcp,53396,80,FIN,0,0,6912,6912,11,1,8/14/2011 7:15,8/14/2011 7:15,53,63,0.000828,0.000092,0.000736,5,5,880,473,542,135,0.015122,10,1353,677,595.159363,264.760406,266.134399,flow=Background-TCP-Established
66.249.72.135,147.32.84.130,tcp,64363,443,FIN,0,0,24960,7936,15,2,8/14/2011 7:15,8/14/2011 7:15,49,62,0.103747,0.000261,0.103486,11,13,1368,10574,634,9708,0.67986,24,11942,10342,33.830494,14.710446,17.657473,flow=Background-TCP-Established
147.32.84.170,209.85.148.147,tcp,38845,80,FIN,0,0,14720,363008,1,11,8/14/2011 7:15,8/14/2011 7:15,63,53,0.009001,0.008825,0.000176,4,2,272,140,0,0,0.018014,6,412,0,277.56189,166.537125,109.039368,flow=From-Normal-V44-Stribrek
178.77.71.27,147.32.86.95,tcp,4188,3389,RST,0,0,65535,64240,10,1,8/14/2011 7:15,8/14/2011 7:15,118,127,0.021256,0.000403,0.020853,97,142,7423,181460,1541,173754,4.607511,239,188883,175295,51.654785,20.835545,30.747318,flow=Background-TCP-Established
147.32.86.20,188.138.84.239,tcp,3156,80,FIN,0,0,65535,5840,1,13,8/14/2011 7:15,8/14/2011 7:15,127,51,0.026607,0.026592,0.000015,15,23,1029,28342,139,27074,0.217115,38,29371,27213,170.416595,64.481956,115.603905,flow=Background-TCP-Established
66.249.72.50,147.32.87.38,tcp,53251,443,FIN,0,0,37696,65792,15,0,8/14/2011 7:15,8/14/2011 7:15,49,128,0.103064,0.000289,0.102775,17,14,1883,16117,753,15185,6.068405,31,18000,15938,4.943638,2.636607,2.179359,flow=Background-TCP-Established
147.32.86.20,188.138.84.239,tcp,3157,80,FIN,0,0,65535,5840,1,14,8/14/2011 7:15,8/14/2011 7:15,127,50,0.026172,0.026158,0.000014,16,24,1089,29963,139,28641,0.215139,40,31052,28780,181.278152,69.722366,121.781403,flow=Background-TCP-Established
147.32.84.184,195.113.232.75,tcp,48781,80,FIN,0,0,20440,5840,1,7,8/14/2011 7:15,8/14/2011 7:23,63,57,0.000653,0.000486,0.000167,9,9,665,7901,137,7397,500.075134,18,8566,7534,0.033995,0.015998,0.015999,flow=Background-TCP-Established
178.77.71.27,147.32.87.29,tcp,1294,3389,RST,0,0,48809,64240,10,0,8/14/2011 7:15,8/14/2011 7:15,118,128,0.021228,0.000308,0.02092,81,130,6319,146017,1541,138959,2.792927,211,152336,140500,75.189934,28.643785,46.545898,flow=Background-TCP-Established
90.183.39.17,147.32.84.2,tcp,53925,80,FIN,0,0,6912,6912,11,1,8/14/2011 7:15,8/14/2011 7:15,53,63,0.000795,0.000014,0.000781,5,5,877,473,539,135,0.008917,10,1350,674,1009.308044,449.337219,449.286774,flow=Background-TCP-Established
147.32.86.20,188.138.84.239,tcp,3158,80,FIN,0,0,65535,5840,1,13,8/14/2011 7:15,8/14/2011 7:15,127,51,0.026291,0.026277,0.000014,16,28,1091,35966,141,34428,0.244183,44,37057,34569,176.097427,61.429337,123.914597,flow=Background-TCP-Established
217.29.8.4,147.32.86.190,tcp,4541,22,CON,0,0,258676,65327,14,1,8/14/2011 7:15,8/14/2011 8:05,114,127,0.017122,0.000077,0.017045,18,12,1632,1272,624,624,3042.642334,30,2904,1248,0.009531,0.005587,0.003616,flow=Background-TCP-Established
147.32.86.20,87.98.230.229,tcp,3159,80,FIN,0,0,65535,5840,1,11,8/14/2011 7:15,8/14/2011 7:15,127,53,0.016439,0.016425,0.000014,14,23,973,28930,143,27662,0.135371,37,29903,27805,265.935822,109.301559,184.957886,flow=Background-TCP-Established
147.32.86.20,87.98.230.229,tcp,3160,80,FIN,0,0,65535,5840,1,11,8/14/2011 7:15,8/14/2011 7:15,127,53,0.016399,0.016385,0.000014,26,50,1691,69340,141,66614,0.170476,76,71031,66755,439.944611,162.326065,317.993896,flow=Background-TCP-Established
147.32.84.184,199.59.149.232,tcp,48036,443,FIN,0,0,20440,9373,1,20,8/14/2011 7:15,8/14/2011 7:15,63,44,0.185069,0.1848,0.000269,12,11,2266,7120,1558,6502,20.801058,23,9386,8060,1.057639,0.533546,0.485054,flow=Background-TCP-Established
178.77.71.27,147.32.87.29,tcp,2675,3389,RST,0,0,65535,64240,10,0,8/14/2011 7:15,8/14/2011 7:15,118,128,0.020948,0.000392,0.020556,77,113,6077,126989,1539,120849,1.715915,190,133066,122388,110.145317,44.291241,66.103844,flow=Background-TCP-Established
147.32.86.20,87.98.230.229,tcp,3161,80,FIN,0,0,65535,5840,1,11,8/14/2011 7:15,8/14/2011 7:15,127,53,0.016436,0.016422,0.000014,13,21,913,25791,143,24631,0.135198,34,26704,24774,244.086456,100.941277,168.384186,flow=Background-TCP-Established
178.77.71.27,147.32.86.95,tcp,2883,3389,RST,0,0,65535,64240,10,1,8/14/2011 7:15,8/14/2011 7:15,118,127,0.020977,0.000368,0.020609,76,126,6019,156626,1541,149778,9.044001,202,162645,151319,22.224678,8.293974,13.821878,flow=Background-TCP-Established
147.32.86.20,193.93.174.21,tcp,3162,80,FIN,0,0,65535,65379,1,9,8/14/2011 7:15,8/14/2011 7:15,127,119,0.016525,0.016511,0.000014,26,64,1706,84340,156,80852,0.944684,90,86046,81008,94.211395,26.463875,67.876305,flow=Background-TCP-Established
178.77.71.27,147.32.87.29,tcp,3607,3389,RST,0,0,50030,64240,10,0,8/14/2011 7:15,8/14/2011 7:15,118,128,0.020833,0.000407,0.020426,76,130,6019,142464,1541,135406,2.769067,206,148483,136947,74.032158,27.084934,47.082954,flow=Background-TCP-Established
217.117.216.101,147.32.84.19,tcp,35866,995,FIN,0,0,18432,7936,11,1,8/14/2011 7:15,8/14/2011 7:15,53,63,0.007189,0.000014,0.007175,14,12,1856,3204,924,2404,0.153825,26,5060,3328,162.522354,84.514374,71.516342,flow=Background-TCP-Established
90.183.39.17,147.32.87.27,tcp,34091,80,RST,0,0,11648,6912,11,0,8/14/2011 7:15,8/14/2011 7:15,53,64,0.000816,0.000014,0.000802,8,8,982,9224,458,8688,0.02276,16,10206,9146,659.050964,307.557129,320.938995,flow=Background-TCP-Established
147.32.86.20,188.138.84.239,tcp,3163,80,FIN,0,0,65535,5840,1,14,8/14/2011 7:15,8/14/2011 7:15,127,50,0.026272,0.026257,0.000015,15,23,1029,28342,139,27074,0.215651,38,29371,27213,171.573517,64.919708,116.226242,flow=Background-TCP-Established
66.249.66.50,147.32.84.2,tcp,35485,80,FIN,0,0,8000,7936,12,1,8/14/2011 7:15,8/14/2011 7:15,52,63,0.01929,0.000091,0.019199,8,5,1095,682,559,344,2.788871,13,1777,903,4.302816,2.509976,1.444133,flow=Background-TCP-Established
146.87.52.56,147.32.84.229,tcp,61186,13363,FIN,0,0,66048,65388,17,1,8/14/2011 7:15,8/14/2011 7:15,111,127,0.031839,0.00017,0.031669,10,8,729,639,147,180,1.160474,18,1368,327,14.649187,7.755452,6.200298,flow=Background-TCP-Established
90.177.96.51,147.32.86.190,tcp,10017,3306,CON,0,0,186448,64710,10,1,8/14/2011 7:15,8/14/2011 8:15,54,127,0.021942,0.000074,0.021868,1561,841,264219,324709,175605,279295,3599.988037,2402,588928,454900,0.666947,0.433335,0.233334,flow=Background-TCP-Established
147.32.86.20,188.138.84.239,tcp,3164,80,FIN,0,0,65535,5840,1,13,8/14/2011 7:15,8/14/2011 7:15,127,51,0.02627,0.026256,0.000014,16,24,1089,29963,139,28641,0.216284,40,31052,28780,180.318466,69.353256,121.145088,flow=Background-TCP-Established
147.32.86.20,80.239.207.156,tcp,3165,80,FIN,0,0,65058,5840,1,11,8/14/2011 7:15,8/14/2011 7:15,127,53,0.037897,0.037721,0.000176,12,20,858,23483,148,22377,0.307988,32,24341,22525,100.653275,35.715679,70.318542,flow=Background-TCP-Established
147.32.84.170,209.85.148.103,tcp,59155,80,FIN,0,0,14720,363008,1,9,8/14/2011 7:15,8/14/2011 7:15,63,55,0.008904,0.00876,0.000144,4,2,272,140,0,0,0.017882,6,412,0,279.610779,167.766464,111.284218,flow=From-Normal-V44-Stribrek
147.32.86.20,188.138.84.239,tcp,3166,80,FIN,0,0,64741,5840,1,13,8/14/2011 7:15,8/14/2011 7:15,127,51,0.026268,0.026253,0.000015,14,23,969,28342,139,27074,0.215941,37,29311,27213,166.712204,60.20163,116.025803,flow=Background-TCP-Established
189.123.213.14,147.32.84.229,tcp,64857,13363,FIN,0,0,17378,65397,14,1,8/14/2011 7:15,8/14/2011 7:15,114,127,0.292658,0.00016,0.292498,10,8,716,597,138,142,16.550447,18,1313,280,1.027163,0.543792,0.430054,flow=Background-TCP-Established
147.32.86.194,65.55.57.251,tcp,2304,80,FIN,0,0,65009,64110,1,17,8/14/2011 7:15,8/14/2011 7:17,127,239,0.165536,0.165227,0.000309,6,3,453,700,97,526,100.515884,9,1153,623,0.079589,0.049743,0.01993,flow=Background-TCP-Established
147.32.86.20,188.138.84.239,tcp,3167,80,FIN,0,0,65535,5840,1,14,8/14/2011 7:15,8/14/2011 7:15,127,50,0.026296,0.026282,0.000014,16,24,1089,29963,139,28641,0.216192,40,31052,28780,180.395203,69.382767,121.184654,flow=Background-TCP-Established
147.32.80.7,147.32.87.41,tcp,45423,25,FIN,0,0,66600,5792,1,0,8/14/2011 7:15,8/14/2011 7:15,63,64,0.000365,0.000173,0.000192,8,8,609,750,73,214,0.016744,16,1359,287,895.843262,418.060181,424.783051,flow=Background-TCP-Established
147.32.87.41,147.32.80.7,tcp,60671,113,RST,0,0,93440,0,0,1,8/14/2011 7:15,8/14/2011 7:15,64,63,0,0,0,1,1,74,60,0,0,0.0001,2,134,0,10000,0,0,flow=Background-TCP-Attempt
178.77.71.27,147.32.87.29,tcp,3411,3389,RST,0,0,65535,64187,10,0,8/14/2011 7:15,8/14/2011 7:15,118,128,0.020946,0.00042,0.020526,78,113,6177,128961,1549,122827,1.876409,191,135138,124376,101.25724,41.035828,60.372345,flow=Background-TCP-Established
147.32.86.194,65.55.11.209,tcp,2306,80,FIN,0,0,65535,63363,1,17,8/14/2011 7:15,8/14/2011 7:17,127,239,0.165935,0.165577,0.000358,27,35,1725,49332,109,47430,100.744469,62,51057,47539,0.605492,0.258079,0.338044,flow=Background-TCP-Established
147.32.86.20,87.98.230.229,tcp,3168,80,FIN,0,0,65535,5840,1,11,8/14/2011 7:15,8/14/2011 7:15,127,53,0.016397,0.016383,0.000014,27,50,1751,69340,141,66614,0.270732,77,71091,66755,280.720428,168.834457,192.648682,flow=Background-TCP-Established
178.77.71.27,147.32.86.95,tcp,4040,3389,RST,0,0,50020,64240,10,1,8/14/2011 7:15,8/14/2011 7:15,118,127,0.02257,0.001855,0.020715,75,115,5959,139111,1541,132857,6.474391,190,145070,134398,29.191935,11.429646,17.670954,flow=Background-TCP-Established
147.32.86.20,193.93.174.21,tcp,3169,80,FIN,0,0,65535,65379,1,9,8/14/2011 7:15,8/14/2011 7:15,127,119,0.016574,0.01656,0.000014,23,65,1526,86157,156,82615,0.993641,88,87683,82771,87.55677,22.140793,65.501556,flow=Background-TCP-Established
178.77.71.27,147.32.87.29,tcp,4800,3389,RST,0,0,52571,64240,10,0,8/14/2011 7:15,8/14/2011 7:15,118,128,0.020961,0.00037,0.020591,81,131,6317,142950,1539,135838,3.228807,212,149267,137377,65.349213,24.776953,40.53093,flow=Background-TCP-Established
147.32.84.28,147.32.80.13,tcp,50571,80,FIN,0,0,22784,66600,1,1,8/14/2011 7:15,8/14/2011 7:17,63,63,0.000306,0.000223,0.000083,16,10,7036,5847,5972,5179,123.261703,26,12883,11151,0.20282,0.121692,0.073016,flow=To-Background-CVUT-Proxy
147.32.86.20,87.98.230.229,tcp,3170,80,FIN,0,0,64264,5840,1,11,8/14/2011 7:15,8/14/2011 7:15,127,53,0.016359,0.016345,0.000014,14,21,973,25791,143,24631,0.134823,35,26764,24774,252.182495,109.773186,168.807709,flow=Background-TCP-Established
147.32.84.170,195.24.233.55,tcp,58933,80,FIN,0,0,15744,7168,1,11,8/14/2011 7:15,8/14/2011 7:15,63,53,0.02475,0.024671,0.000079,5,5,549,670,211,332,0.202279,10,1219,543,44.493,22.513016,22.521509,flow=From-Normal-V44-Stribrek
46.135.22.16,147.32.85.34,tcp,7042,993,RST,0,0,12992,66052,15,1,8/14/2011 7:15,8/14/2011 7:45,49,63,1.500098,0.000162,1.499936,15,10,1531,2498,525,1814,1827.162231,25,4029,2339,0.013135,0.007662,0.004927,flow=Background-TCP-Established
147.32.86.20,188.138.84.239,tcp,3171,80,FIN,0,0,65535,5840,1,14,8/14/2011 7:15,8/14/2011 7:15,127,50,0.026259,0.026244,0.000015,15,23,1029,28342,139,27074,0.215835,38,29371,27213,171.427246,64.864365,116.109695,flow=Background-TCP-Established
178.77.71.27,147.32.87.29,tcp,2613,3389,RST,0,0,51111,64240,10,0,8/14/2011 7:15,8/14/2011 7:15,118,128,0.020981,0.000434,0.020547,77,126,6079,143225,1541,136383,2.044495,203,149304,137924,98.801903,37.172993,61.799683,flow=Background-TCP-Established
66.249.66.10,147.32.87.36,tcp,47062,80,FIN,0,0,23232,6528,12,0,8/14/2011 7:15,8/14/2011 7:15,52,64,0.02224,0.002983,0.019257,12,10,1454,7941,654,7273,3.216572,22,9395,7927,6.528689,3.41979,2.817206,flow=To-Background-CVUT-WebServer
147.32.86.20,188.138.84.239,tcp,3172,80,FIN,0,0,65535,5840,1,13,8/14/2011 7:15,8/14/2011 7:15,127,51,0.02653,0.026515,0.000015,15,25,1029,30023,139,28641,1.563923,40,31052,28780,24.937288,8.951847,15.610832,flow=Background-TCP-Established
147.32.86.20,80.239.207.156,tcp,3173,80,FIN,0,0,65535,5840,1,11,8/14/2011 7:15,8/14/2011 7:15,127,53,0.037956,0.037938,0.000018,13,20,918,23483,148,22377,0.309328,33,24401,22525,103.450066,38.793774,70.049446,flow=Background-TCP-Established
147.32.85.89,74.125.39.106,tcp,53850,443,FIN,0,0,34432,8896,1,15,8/14/2011 7:15,8/14/2011 7:15,63,49,0.009341,0.009168,0.000173,15,18,1948,11869,950,10673,0.226904,33,13817,11623,141.028809,64.332321,78.076202,flow=Background-TCP-Established
147.32.85.89,74.125.39.106,tcp,53851,443,FIN,0,0,63360,7872,1,15,8/14/2011 7:15,8/14/2011 7:15,63,49,0.009347,0.009164,0.000183,26,39,2580,43569,856,40975,0.226524,65,46149,41831,282.530762,114.953094,174.825165,flow=Background-TCP-Established
113.105.171.60,147.32.85.88,tcp,80,55831,RST,0,0,2097152,0,21,1,8/14/2011 7:15,8/14/2011 7:15,107,63,0,0,0,1,1,66,60,0,0,0.000017,2,126,0,58823.52734,0,0,flow=Background-TCP-Established
113.105.171.56,147.32.85.88,tcp,80,55831,RST,0,0,2097152,0,21,1,8/14/2011 7:15,8/14/2011 7:15,107,63,0,0,0,1,1,66,60,0,0,0.000015,2,126,0,66666.67188,0,0,flow=Background-TCP-Established
147.32.86.20,188.138.84.239,tcp,3174,80,FIN,0,0,64687,5840,1,13,8/14/2011 7:15,8/14/2011 7:15,127,51,0.026226,0.026168,0.000058,17,28,1151,35966,141,34428,0.242157,45,37117,34569,181.700302,66.072838,125.064262,flow=Background-TCP-Established
147.32.84.170,209.85.148.99,tcp,35577,80,FIN,0,0,14720,363008,1,11,8/14/2011 7:15,8/14/2011 7:15,63,53,0.00911,0.009038,0.000072,4,2,272,140,0,0,0.018179,6,412,0,275.042633,165.025589,111.024757,flow=From-Normal-V44-Stribrek
178.77.71.27,147.32.86.95,tcp,3945,3389,RST,0,0,50008,64240,10,1,8/14/2011 7:15,8/14/2011 7:15,118,127,0.020727,0.000348,0.020379,80,135,6255,172308,1537,164974,6.601948,215,178563,166511,32.414677,11.966166,20.372099,flow=Background-TCP-Established
147.32.86.20,87.98.230.229,tcp,3175,80,FIN,0,0,65535,5840,1,11,8/14/2011 7:15,8/14/2011 7:15,127,53,0.01634,0.016325,0.000015,14,23,973,28930,143,27662,0.134962,37,29903,27805,266.74173,109.624153,185.439621,flow=Background-TCP-Established
66.249.66.10,147.32.87.36,tcp,39039,80,FIN,0,0,20352,5440,12,0,8/14/2011 7:15,8/14/2011 7:15,52,64,0.0192,0.000168,0.019032,10,8,976,6647,308,6111,2.676394,18,7623,6419,6.35183,3.362734,2.634472,flow=To-Background-CVUT-WebServer
147.32.86.20,188.138.84.239,tcp,3176,80,FIN,0,0,65535,5840,1,13,8/14/2011 7:15,8/14/2011 7:15,127,51,0.026278,0.02627,0.000008,14,23,969,28342,139,27074,0.216006,37,29311,27213,166.662033,60.183514,115.959747,flow=Background-TCP-Established
90.183.39.17,147.32.84.2,tcp,56827,80,FIN,0,0,29056,6912,11,1,8/14/2011 7:15,8/14/2011 7:15,53,63,0.001058,0.000014,0.001044,12,12,1253,12714,453,11914,0.047126,24,13967,12367,488.053314,233.878342,233.48616,flow=Background-TCP-Established
147.32.86.20,188.138.84.239,tcp,3177,80,FIN,0,0,65535,5840,1,14,8/14/2011 7:15,8/14/2011 7:15,127,50,0.026368,0.026276,0.000092,16,24,1089,29963,139,28641,0.217393,40,31052,28780,179.398605,68.999466,120.413803,flow=Background-TCP-Established
178.77.71.27,147.32.87.29,tcp,1561,3389,RST,0,0,65535,64240,10,0,8/14/2011 7:15,8/14/2011 7:15,118,128,0.020946,0.000423,0.020523,91,141,6915,151534,1537,143870,3.499069,232,158449,145407,66.017563,25.721128,40.145775,flow=Background-TCP-Established
147.32.86.20,87.98.230.229,tcp,3178,80,FIN,0,0,65535,5840,1,11,8/14/2011 7:15,8/14/2011 7:15,127,53,0.016434,0.01642,0.000014,27,50,1751,69340,141,66614,0.170003,77,71091,66755,447.050934,169.23558,319.045715,flow=Background-TCP-Established
67.195.111.228,147.32.84.2,tcp,39516,80,FIN,0,0,14528,6912,17,1,8/14/2011 7:15,8/14/2011 7:15,47,63,0.178405,0.000014,0.178391,7,7,886,5438,416,4968,0.362593,14,6324,5384,35.852871,16.551222,16.548119,flow=Background-TCP-Established
147.32.86.20,193.93.174.21,tcp,3179,80,FIN,0,0,65535,65379,1,9,8/14/2011 7:15,8/14/2011 7:15,127,119,0.016442,0.016427,0.000015,21,64,1406,84654,156,81166,0.970051,85,86060,81322,86.593384,20.617474,66.072571,flow=Background-TCP-Established
64.202.189.170,147.32.84.105,tcp,80,19781,RST,0,0,0,0,38,1,8/14/2011 7:15,8/14/2011 7:15,90,63,0,0,0,1,1,60,60,0,0,0.000378,2,120,0,2645.502686,0,0,flow=Background-TCP-Established
178.77.71.27,147.32.87.29,tcp,3413,3389,RST,0,0,49047,64240,10,0,8/14/2011 7:15,8/14/2011 7:15,118,128,0.026345,0.005697,0.020648,87,146,6675,151469,1537,143547,4.833072,233,158144,145084,48.002594,17.794065,30.173004,flow=Background-TCP-Established
147.32.86.20,188.138.84.239,tcp,3180,80,FIN,0,0,65535,5840,1,13,8/14/2011 7:15,8/14/2011 7:15,127,51,0.026314,0.0263,0.000014,15,23,1029,28342,139,27074,0.215959,38,29371,27213,171.328812,64.827118,116.040489,flow=Background-TCP-Established
66.249.72.170,147.32.87.38,tcp,57675,80,FIN,0,0,31936,66560,15,0,8/14/2011 7:15,8/14/2011 7:15,49,128,0.103887,0.000267,0.10362,14,11,1211,13367,279,12633,6.219339,25,14578,12912,3.858931,2.090254,1.635193,flow=Background-TCP-Established
147.32.86.20,188.138.84.239,tcp,3181,80,FIN,0,0,64634,5840,1,14,8/14/2011 7:15,8/14/2011 7:15,127,50,0.026497,0.026395,0.000102,15,24,1029,29963,139,28641,0.217247,39,30992,28780,174.916107,64.44278,120.586784,flow=Background-TCP-Established
67.195.111.228,147.32.84.2,tcp,39884,80,FIN,0,0,12928,6912,17,1,8/14/2011 7:15,8/14/2011 7:15,47,63,0.177819,0.000014,0.177805,7,7,876,3464,406,2994,0.392911,14,4340,3400,33.086376,15.271217,15.271177,flow=Background-TCP-Established
